ACNT_YR,구분,중앙재정,지방재정,지방교육재정,내부거래,합계,내부거래,일반정부
"2022","I. 비용","727,286","620,639","82,999","-18,573","333,247","-266,959","793,575"
"2022","1. 피용자보수","57,646","123,908","38,831",0,"81,370",0,"139,015"
"2022","  1.1. 급여및임금","54,879","106,250","32,505",0,"69,378",0,"124,257"
"2022","  1.2. 사회보험료","2,767","17,658","6,326",0,"11,992",0,"14,759"
"2022","    1.2.1. 명시적사회보험료","2,767","17,658","6,326",0,"11,992",0,"14,759"
"2022","    1.2.2. 암묵적사회보험료",0,0,0,0,0,0,0
"2022","2. 재화와용역의사용","79,135","159,493","4,733",0,"82,113","-7,090","154,159"
"2022","3. 고정자본소비","19,367","32,641","4,132",0,"18,387",0,"37,753"
"2022","4. 이자","25,197","2,092",123,0,"1,108",-77,"26,228"
"2022","  4.1. 비거주자에대한 지급이자",8,0,0,0,0,0,8
"2022","  4.2. 일반정부 이외의 거주자에 대한 지급이자","6,441","1,928",119,0,"1,024",0,"7,465"
"2022","  4.3. 여타일반정부에대한지급이자","18,747",164,5,0,84,-77,"18,754"
"2022","5. 보조","71,799","203,356","12,756",0,"108,056",0,"179,855"
"2022","  5.1. 공기업에 대한 보조","16,107","1,293",0,0,647,0,"16,754"
"2022","  5.2. 민간기업에대한보조","55,692","202,063","12,756",0,"107,410",0,"163,102"
"2022","6. 출연","252,035","50,893","3,214","-18,573","8,481","-259,792",723
"2022","  6.1. 외국정부에 대한 출연",585,2,0,0,1,0,586
"2022","    6.1.1. 경상",585,2,0,0,1,0,586
"2022","    6.1.2. 자본",0,0,0,0,0,0,0
"2022","  6.2. 국제기구에 대한 출연",119,36,0,0,18,0,137
"2022","    6.2.1. 경상",119,36,0,0,18,0,137
"2022","    6.2.2. 자본",0,0,0,0,0,0,0
"2022","  6.3. 여타일반정부에대한출연","251,330","50,855","3,214","-18,573","8,462","-259,792",0
"2022","    6.3.1. 경상","250,968","50,681","3,040","-18,552","8,308","-259,277",0
"2022","    6.3.2. 자본",362,174,174,-20,154,-515,0
"2022","7. 사회급여","200,106",0,0,0,0,0,"200,106"
"2022","  7.1. 사회보장급여","199,994",0,0,0,0,0,"199,994"
"2022","  7.2. 사회부조급여",112,0,0,0,0,0,112
"2022","  7.3. 고용주사회급여",0,0,0,0,0,0,0
"2022","8. 기타비용","22,002","48,256","19,210",0,"33,733",0,"55,735"
"2022","  8.1. 이자 이외의 재산비용",79,22,1,0,11,0,91
"2022","  8.2. 기타 미분류비용","21,923","48,234","19,209",0,"33,721",0,"55,644"
"2022","    8.2.1. 경상","21,920","48,227","19,201",0,"33,714",0,"55,634"
"2022","    8.2.2. 자본",3,7,7,0,7,0,10
