ACNT_YR,구분,중앙재정,지방재정,지방교육재정,내부거래,합계,내부거래,일반정부
"2022","I. 비금융자산","1,202,095","2,677,226","119,903",0,"1,398,564",0,"2,600,660"
"2022","  1. 고정자산","539,613","1,639,476","83,768",0,"861,622",0,"1,401,235"
"2022","    1.1. 건물및구조물","382,159","1,586,460","65,747",0,"826,104",0,"1,208,262"
"2022","    1.2. 기계및장비","136,721","47,883","17,553",0,"32,718",0,"169,439"
"2022","    1.3. 기타고정자산","20,733","5,133",468,0,"2,800",0,"23,534"
"2022","  2. 재고자산","12,689","10,946",0,0,"5,473",0,"18,162"
"2022","  3. 가치저장자산",0,0,0,0,0,0,0
"2022","  4. 비생산자산","649,793","1,026,805","36,135",0,"531,470",0,"1,181,263"
"2022","    4.1. 토지","646,680","1,025,393","36,133",0,"530,763",0,"1,177,443"
"2022","    4.2. 지하자산",0,0,0,0,0,0,0
"2022","    4.3. 기타자연발생자산",0,0,0,0,0,0,0
"2022","    4.4. 무형비생산자산","3,113","1,412",2,0,707,0,"3,820"
"2022","II. 금융자산","1,799,235","387,992","31,631",-442,"209,369","-19,810","1,988,794"
"2022","  1. 현금및예금","165,790","274,291","29,182",0,"151,736",0,"317,527"
"2022","  2. 주식이외의유가증권","186,392",142,0,0,71,"-10,995","175,467"
"2022","  3. 융자","233,396","17,999","1,122",0,"9,561","-6,581","236,376"
"2022","  4. 주식및기타지분","939,359","68,904",0,0,"34,452",0,"973,811"
"2022","  5. 보험책임준비금",0,0,0,0,0,0,0
"2022","  6. 파생금융상품","1,381",0,0,0,0,0,"1,381"
"2022","  7. 기타미수계정","272,916","26,657","1,327",-442,"13,550","-2,233","284,233"
"2022","III. 부채","1,106,377","142,416","3,982",-442,"72,757","-19,810","1,159,324"
"2022","  1. 특별인출권 (SDRs)",0,0,0,0,0,0,0
"2022","  2. 현금및예금","2,082",0,0,0,0,0,"2,082"
"2022","  3. 주식이외의유가증권","923,927","61,689",0,0,"30,844","-10,995","943,776"
"2022","  4. 융자","109,208","31,127","3,503",0,"17,315","-6,581","119,942"
"2022","  5. 주식및기타지분","1,019",0,0,0,0,0,"1,019"
"2022","  6. 보험책임준비금","3,091",0,0,0,0,0,"3,091"
"2022","  7. 파생금융상품","1,112",0,0,0,0,0,"1,112"
"2022","  8. 기타미지급계정","65,938","49,600",479,-442,"24,597","-2,233","88,302"
